NGC 104	6.02379	-72.08131	-0.74	-17.45	0.16	4.52	7.52	89.5	1.557	297
NGC 288	13.18850	-26.58261	-1.27	-44.45	0.13	8.99	12.21	9.3	0.605	43
NGC 362	15.80942	-70.84878	-1.11	223.12	0.28	8.83	9.62	28.4	0.598	70
Palomar 1	53.33350	79.58105	-0.45	-75.72	0.29	11.28	17.41	0.10	0.122	3
NGC 1851	78.52816	-40.04655	-1.13	321.40	1.55	11.95	16.69	31.8	0.611	71
NGC 1904	81.04584	-24.52442	-1.52	205.76	0.20	13.08	19.09	13.9	0.259	40
NGC 2298	102.24754	-36.00531	-1.84	147.15	0.57	9.83	15.07	5.6	0.435	12
NGC 2808	138.01291	-64.86349	-1.07	103.57	0.27	10.06	11.58	86.4	0.944	132
NGC 3201	154.40343	-46.41248	-1.39	493.65	0.21	4.74	8.93	16.0	0.925	217
NGC 4147	182.52626	18.54264	-1.63	179.35	0.31	18.53	20.20	3.9	0.274	3
Rup 106	189.66750	-51.15028	-1.30	-38.36	0.26	20.71	18.00	3.4	0.213	2
NGC 4590	189.86658	-26.74406	-2.22	-93.11	0.18	10.40	10.35	12.2	0.426	41
NGC 5024	198.23021	18.16817	-1.90	-63.37	0.25	18.50	19.00	45.5	0.549	41
NGC 5053	199.11288	17.70025	-2.21	42.82	0.25	17.54	18.01	7.4	0.317	17
NGC 5139	201.69699	-47.47947	-1.60	232.78	0.21	5.43	6.50	364.0	2.142	1864
NGC 5272	205.54842	28.37728	-1.43	-147.20	0.27	10.17	12.09	41.0	0.714	299
NGC 5466	211.36371	28.53444	-1.81	106.82	0.20	16.12	16.47	6.0	0.284	17
NGC 5634	217.40533	-5.97643	-1.72	-16.07	0.60	25.96	21.84	22.8	0.420	2
Palomar 5	229.01917	-0.12100	-1.24	-58.61	0.15	21.94	17.27	1.0	0.120	12
NGC 5904	229.63841	2.08103	-1.21	53.50	0.25	7.48	6.27	39.4	0.607	259
NGC 6093	244.26004	-22.97608	-1.61	10.93	0.39	10.34	3.95	33.8	0.344	3
NGC 6121	245.86974	-26.52575	-1.07	71.21	0.15	1.85	6.45	8.7	1.658	224
NGC 6144	246.80777	-26.02350	-1.80	194.79	0.58	8.15	2.50	7.9	0.198	1
NGC 6171	248.13275	-13.05378	-1.02	-34.71	0.18	5.63	3.74	7.5	0.368	65
NGC 6205	250.42181	36.45986	-1.48	-244.90	0.30	7.42	8.64	54.5	1.036	152
