galaxy,survey,telescope,tracer_line,redshift,e_redshift,class_jones2021,class_lefevre2020,is_rotator,is_merger,is_dispersion_dom,is_uncertain,inc_kin_deg,e_inc_kin_deg,pa_kin_deg,e_pa_kin_deg,pa_delta_deg,vrot_max_kms,vrot_mean_kms,sigma_mean_kms,v_over_sigma,log_mdyn_msun,log_mstar_msun,sfr_msun_yr,n_rings,r_min_kpc,r_max_kpc,quality_tier,beam_arcsec,beam_smeared,beam_smear_corrected,reference,ingested_date,corpus_version
CG32,ALPINE,ALMA,[CII] 158um,4.4105,0.0005,ROT,2,True,False,False,False,55,19,238,14,148,117.43,116.235,29.1,3.994,10.041,10.2,80.0,2,1.17,3.5,1,1.0,True,True,"Jones et al. (2021), MNRAS; Le Fèvre et al. (2020), A&A 643, A1",2026-05-12,Z1
DC396844,ALPINE,ALMA,[CII] 158um,4.5424,0.0005,ROT,1,True,False,False,False,57,31,197,14,36,120.88,100.65,32.13,3.133,9.748,10.1,50.0,2,1.25,3.75,1,1.0,True,True,"Jones et al. (2021), MNRAS; Le Fèvre et al. (2020), A&A 643, A1",2026-05-12,Z1
DC417567,ALPINE,ALMA,[CII] 158um,5.67,0.0006,UNC,2,False,False,False,True,68,13,49,4,111,,,,,,10.0,30.0,0,,,2,1.0,True,True,"Jones et al. (2021), MNRAS; Le Fèvre et al. (2020), A&A 643, A1",2026-05-12,Z1
DC432340,ALPINE,ALMA,[CII] 158um,4.4045,0.0005,UNC,2,False,False,False,True,68,12,187,8,176,,,,,,10.3,60.0,0,,,2,1.0,True,True,"Jones et al. (2021), MNRAS; Le Fèvre et al. (2020), A&A 643, A1",2026-05-12,Z1
DC434239,ALPINE,ALMA,[CII] 158um,4.4883,0.0005,MER,2,False,True,False,False,73,13,217,3,171,,,,,,10.2,70.0,0,,,2,1.0,True,True,"Jones et al. (2021), MNRAS; Le Fèvre et al. (2020), A&A 643, A1",2026-05-12,Z1
DC454608,ALPINE,ALMA,[CII] 158um,4.5835,0.0005,UNC,2,False,False,False,True,57,8,193,9,53,,,,,,9.8,20.0,0,,,2,1.0,True,True,"Jones et al. (2021), MNRAS; Le Fèvre et al. (2020), A&A 643, A1",2026-05-12,Z1
DC494057,ALPINE,ALMA,[CII] 158um,5.5446,0.0005,ROT,1,True,False,False,False,46,4,185,13,125,80.31,79.375,49.11,1.616,9.672,10.0,40.0,2,1.04,3.13,1,1.0,True,True,"Jones et al. (2021), MNRAS; Le Fèvre et al. (2020), A&A 643, A1",2026-05-12,Z1
DC519281,ALPINE,ALMA,[CII] 158um,5.58,0.02,UNC,2,False,False,False,True,53,9,70,10,30,,,,,,9.7,15.0,0,,,2,1.0,True,True,"Jones et al. (2021), MNRAS; Le Fèvre et al. (2020), A&A 643, A1",2026-05-12,Z1
DC552206,ALPINE,ALMA,[CII] 158um,5.5016,0.0005,ROT,2,True,False,False,False,61,17,322,7,176,172.84,136.367,83.13,1.64,10.58,10.4,120.0,3,1.11,5.53,1,1.0,True,True,"Jones et al. (2021), MNRAS; Le Fèvre et al. (2020), A&A 643, A1",2026-05-12,Z1
DC627939,ALPINE,ALMA,[CII] 158um,4.5333,0.0006,UNC,2,False,False,False,True,66,8,278,4,108,,,,,,10.1,45.0,0,,,2,1.0,True,True,"Jones et al. (2021), MNRAS; Le Fèvre et al. (2020), A&A 643, A1",2026-05-12,Z1
